,name,birth,death,nationality
0,Herb Aach,,,American
1,Hans von Aachen,,,
2,Pacita Abad,,,
3,Vilmos Aba-Novák,,,
4,Reza Abbasi,,,
5,Niccolò dell'Abbate,,,
6,Giuseppe Abbati,,,Italian
7,Salomon van Abbé,31 July 1883,28 February 1955,
8,Louise Abbéma,30 October 1853,10 July 1927,French
9,Edwin Austin Abbey,,,American
10,Mary Abbott (artist),,,
11,Basuki Abdullah,,,
12,Rowena Meeks Abdy,,,American
13,Josef Abel,,,
14,Evelyn Abelson,,7 March 1967,
15,Gertrude Abercrombie,,,American
16,John Brown Abercromby,,,
17,Johann Ludwig Aberli,,,
18,Anna Maria Barbara Abesch,,,
19,Nicolai Abildgaard,11 September 1743,4 June 1809,Danish
20,Béla Apáti Abkarovics,,,
21,Béla Nagy Abodi,13 July 1918,9 December 2012,
22,Ruth Abrahams,11 March 1931,8 August 2000,British
23,Herbert Abrams,,,American (United States)
24,Ruth Abrams (artist),,12 March 1986,American
25,Philip Absolon,24 November 1960,,British
26,Otto Abt,,,
27,İsmail Acar,,,
28,Bernard Accama,,,
29,Andreas Achenbach,,,
30,Oswald Achenbach,2 February 1827,1 February 1905,German
31,Patrick Adam,,,
32,Elinor Proby Adams,18 October 1885,18 December 1945,
33,J. Ottis Adams,,,American
34,John Clayton Adams,,,
35,Pat Adams,,,American
36,Robert Adamson (photographer),26 April 1821,14 January 1848,Scottish
37,Sarah Gough Adamson,,,British
38,Mary Adshead,15 February 1904,3 September 1995,
39,Jankel Adler,26 July 1895,25 April 1949,Polish
40,Mór Adler,,,
41,Willem van Aelst,,,
42,Pieter Aertsen,,,
43,Nadir Afonso,4 December 1920,11 December 2013,Portuguese
44,Yaacov Agam,,,
45,Jacques-Laurent Agasse,,,
46,Knud Agger,,,Danish
47,Gyula Aggházy,,,
48,Lubna Agha,,,
49,Christoph Ludwig Agricola,5 November 1665,8 August 1724,German
50,Ai Xuan,,,
51,John Macdonald Aiken,,,
52,Aimitsu,,,Japanese
53,Edgar Ainsworth (artist),,,British
54,Ivan Aivazovsky,,,
55,Tadeusz Ajdukiewicz,,,Polish
56,Ras Akyem,,,
57,Francesco Albani,17 August 1578,4 October 1660,Italian
58,Josef Albers,,,
59,Mariotto Albertinelli,13 October 1474,5 November 1515,Italian
60,Giocondo Albertolli,,,
61,Ivan Albright,,,
62,Kazimierz Alchimowicz,,,Polish
63,Tivadar Alconiere,,,
64,Alfred L. Copley,,,
65,Eileen Aldridge,20 July 1916,,British
66,Pierre Alechinsky,19 October 1927,,
67,George Aleef,,,
68,Fyodor Alekseyev,,,
69,Mikoláš Aleš,,,
70,Cosmo Alexander,,25 August 1772,Scottish
71,John Alexander (painter),,,
72,Larry D. Alexander,,,American
73,Lena Alexander,9 December 1899,,
74,Else Alfelt,19 September 1910,9 August 1974,Danish
75,Brian Alfred,,,
76,Jessie Algie,,,British
77,Andrew Allan (artist),,,British
78,David Allan (painter),,,
79,Griselda Allan,22 November 1905,23 August 1987,British
80,Robert Weir Allan,,,
81,Rosemary Allan,,,
82,Daphne Allen,6 January 1899,,British
83,Kathleen Allen,,,
84,Alessandro Allori,31 May 1535,22 September 1607,
85,Cristofano Allori,,,
86,Washington Allston,,,
87,Laura Theresa Alma-Tadema,16 April 1852,15 August 1909,
88,Lawrence Alma-Tadema,8 January 1836,25 June 1912,DutchBritish denizen
89,José Ferraz de Almeida Júnior,,,Brazilian
90,Charles Alston,,,
91,Margareta Alströmer,,,
92,Rudolf von Alt,,,
93,Albrecht Altdorfer,,12 February 1538,German
94,Altichiero,,,
95,John Altoon,,,
96,Pedro Álvarez Castelló,,,
97,Edmond Aman-Jean,,,
98,Tarsila do Amaral,1 September 1886,17 January 1973,
99,Christoph Amberger,,,
